rocket,name,geometry_method,reference_area,initial_radius,thickness,final_radius,length,body_diameter,weight,position,material,body_type,name,geometry_method,thickness,root_chord,tip_chord,spanwise_length,sweep_length,sweep_angle,height,max_body_diameter,position,material,weight,body_type,number_of_fins,Mach,reference_area
"altura:1,18/3 aletas/30%/com canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,054","0,015","0,051","0,048",29,"10,2","0,0509","1,286",glass_fiber,"22,9057",rounded,3,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,fin,"0,0023","0,049","0,014","0,063","0,07",26,10,"0,0509","0,3",glass_fiber,"26,3000",rounded,3,"0,66",reference_area
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/4 aletas/30% /com canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,054","0,015","0,051","0,048",29,"10,2","0,0509","1,286",glass_fiber,"30,5410",rounded,4,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,fin,"0,0023","0,049","0,014","0,063","0,07",26,10,"0,0509","0,3",glass_fiber,"26,3000",rounded,3,"0,66",reference_area
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/3 aletas/30%/sem canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,054","0,015","0,051","0,048",29,"10,2","0,0509","1,286",glass_fiber,"22,9057",rounded,3,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,0,0,0,0,0,0,0,0,"0,0509","0,3",0,"26,3000",0,0,0,0
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/4 aletas/30%/sem canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,054","0,015","0,051","0,048",29,"10,2","0,0509","1,286",glass_fiber,"30,5410",rounded,4,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,0,0,0,0,0,0,0,0,"0,0509","0,3",0,"26,3000",0,0,0,0
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/3 aletas/40%/com canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,072","0,02","0,068","0,064",29,"10,2","0,0509","1,268",glass_fiber,"40,7213",rounded,3,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,fin,"0,0023","0,049","0,014","0,063","0,07",26,10,"0,0509","0,3",glass_fiber,"26,3000",rounded,3,"0,66",reference_area
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/3 aletas/40%/sem canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,072","0,02","0,068","0,064",29,"10,2","0,0509","1,268",glass_fiber,"40,7213",rounded,3,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,0,0,0,0,0,0,0,0,"0,0509","0,3",0,"26,3000",0,0,0,0
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/4 aletas/40% /com canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,072","0,02","0,068","0,064",29,"10,2","0,0509","1,268",glass_fiber,"54,2951",rounded,4,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,fin,"0,0023","0,049","0,014","0,063","0,07",26,10,"0,0509","0,3",glass_fiber,"26,3000",rounded,3,"0,66",reference_area
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/4 aletas/40%/sem canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,072","0,02","0,068","0,064",29,"10,2","0,0509","1,268",glass_fiber,"54,2951",rounded,4,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,0,0,0,0,0,0,0,0,"0,0509","0,3",0,"26,3000",0,0,0,0
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
"altura:1,18/3 aletas/50%/com canard",nose,body,reference_area,0,"0,003","0,02545","0,16","0,0509",70,0,glass_fiber,von karman,fin,fin,"0,0023","0,09","0,025","0,085","0,08",29,"10,2","0,0509","1,25",glass_fiber,"63,6270",rounded,3,"0,66",reference_area
,fuselage,body,reference_area,"0,02545","0,003","0,02545","1,18","0,0509","693,436992","0,16",glass_fiber,cylinder,canard,fin,"0,0023","0,049","0,014","0,063","0,07",26,10,"0,0509","0,3",glass_fiber,"26,3000",rounded,3,"0,66",reference_area
,boattail,body,reference_area,"0,02545","0,003","0,02","0,05","0,0509",20,"1,34",glass_fiber,cone,,,,,,,,,,,,,,,,,
