,name,geometry_method,reference_area,initial_radius,thickness,final_radius,length,body_diameter,weight,position,material,body_type,,name,geometry_method,thickness,root_chord,tip_chord,spanwise_length,sweep_length,max_body_diameter,position,material,weight,body_type,number_of_fins,Mach,reference_area
NOME DO FOGUETE,nose,body,reference_area,0,0.008,0.0792 / 2,0.23,0.0792,134,0,glass_fiber,von karman,,fin,fin,0.0023,0.18,0.04,0.1,0.1,0.0792,1.69,glass_fiber,140.415,rounded,3,0.66,reference_area
,fuselage,body,reference_area,0.0792 / 2,0.008,0.0792 / 2,1.61,0.0792,1445,0.23,glass_fiber,cylinder,,canard,fin,0.0023,0.06,0.02,0.08,0.09,0.0792,0.4,glass_fiber,40.848,rounded,3,0.66,reference_area
,boattail,body,reference_area,0.0792 / 2,0.008,0.05 / 2,0.06,0.0792,44.9,2.73,glass_fiber,cone,,,,,,,,,,,,,,,,
HF-2,nose,body,reference_area,0,0.008,0.0792 / 2,0.23,0.0792,134,0,glass_fiber,von karman,,fin,fin,0.0023,0.18,0.04,0.1,0.15,0.0792,1.69,glass_fiber,140.415,rounded,3,0.66,reference_area
,fuselage,body,reference_area,0.0792 / 2,0.008,0.0792 / 2,1.61,0.0792,1445,0.23,glass_fiber,cylinder,,canard,fin,0.0023,0.06,0.02,0.08,0.09,0.0792,0.4,glass_fiber,40.848,rounded,3,0.66,reference_area
,boattail,body,reference_area,0.0792 / 2,0.008,0.05 / 2,0.06,0.0792,44.9,2.73,glass_fiber,cone,,,,,,,,,,,,,,,,
HF-3,nose,body,reference_area,0,0.008,0.0792 / 2,0.23,0.0792,134,0,glass_fiber,von karman,,fin,fin,0.0023,0.18,0.04,0.1,0.2,0.0792,1.69,glass_fiber,140.415,rounded,3,0.66,reference_area
,fuselage,body,reference_area,0.0792 / 2,0.008,0.0792 / 2,1.61,0.0792,1445,0.23,glass_fiber,cylinder,,canard,fin,0.0023,0.06,0.02,0.08,0.09,0.0792,0.4,glass_fiber,40.848,rounded,3,0.66,reference_area
,boattail,body,reference_area,0.0792 / 2,0.008,0.05 / 2,0.06,0.0792,44.9,2.73,glass_fiber,cone,,,,,,,,,,,,,,,,
HF-4,nose,body,reference_area,0,0.008,0.0792 / 2,0.23,0.0792,134,0,glass_fiber,von karman,,fin,fin,0.0023,0.18,0.04,0.1,0.25,0.0792,1.69,glass_fiber,140.415,rounded,3,0.66,reference_area
,fuselage,body,reference_area,0.0792 / 2,0.008,0.0792 / 2,1.61,0.0792,1445,0.23,glass_fiber,cylinder,,canard,fin,0.0023,0.06,0.02,0.08,0.09,0.0792,0.4,glass_fiber,40.848,rounded,3,0.66,reference_area
,boattail,body,reference_area,0.0792 / 2,0.008,0.05 / 2,0.06,0.0792,44.9,2.73,glass_fiber,cone,,,,,,,,,,,,,,,,
HF-5,nose,body,reference_area,0,0.008,0.0792 / 2,0.23,0.0792,134,0,glass_fiber,von karman,,fin,fin,0.0023,0.18,0.04,0.1,0.3,0.0792,1.69,glass_fiber,140.415,rounded,3,0.66,reference_area
