rocket,name,geometry_method,reference_area,initial_radius,thickness,final_radius,length,body_diameter,weight,position,material,body_type,name,geometry_method,thickness,root_chord,tip_chord,spanwise_length,sweep_length,sweep_angle,height,max_body_diameter,position,material,weight,body_type,number_of_fins,Mach,reference_area
1-altura:x 3 aletas. 30% do tamanho. com canard,nose,body,reference_area,50.90 ,8,50.90,"16,36165803",50.90,50,0,glass_fiber,von karman,fin,fin,23,"2,1","0,6",0.1,3,14,3,50.90,1.69,glass_fiber,140.415,rounded,3,0.66,reference_area
,fuselage,body,reference_area,50.90,8,50.90,"138,5",50.90,50,30,glass_fiber,cylinder,canard,fin,23,"5,4","1,5",0.08,"4,5",13,5,50.90,0.4,glass_fiber,40.848,rounded,3,0.66,reference_area
,boattail,body,reference_area,50.90,8,0.05 / 2,0.06,50.90,50,300,glass_fiber,cone,,,,,,,,,,50.90,,,,,,,
2-altura:x/4 aletas/30% /com canard,nose,body,reference_area,50.90,8,50.90,"16,36165803",50.90,50,0,glass_fiber,von karman,fin,fin,23,"2,1","0,6",0.1,3,14,3,50.90,1.69,glass_fiber,140.415,rounded,4,0.66,reference_area
,fuselage,body,reference_area,50.90,8,50.90,"138,5",50.90,50,30,glass_fiber,cylinder,canard,fin,23,"5,4","1,5",0.08,"4,5",13,5,50.90,0.4,glass_fiber,40.848,rounded,3,0.66,reference_area
,boattail,body,reference_area,50.90,8,0.05 / 2,0.06,50.90,50,300,glass_fiber,cone,,,,,,,,,,50.90,,,,,,,
3-altura:x/3 aletas/30%/ sem canard,nose,body,reference_area,50.90,8,50.90,"16,36165803",50.90,50,0,glass_fiber,von karman,fin,fin,23,"2,1","0,6",0.1,3,14,3,50.90,1.69,glass_fiber,140.415,rounded,3,0.66,reference_area
,fuselage,body,reference_area,50.90,8,50.90,"138,5",50.90,50,30,glass_fiber,cylinder,canard(sem),0,0,0,0,0,0,0,0,50.90,0,0,0,0,0,0,0
,boattail,body,reference_area,50.90,8,0.05 / 2,0.06,50.90,50,300,glass_fiber,cone,,,,,,,,,,50.90,,,,,,,
4-altura:x/4 aletas/30%/sem canard,nose,body,reference_area,50.90,8,50.90,"16,36165803",50.90,50,0,glass_fiber,von karman,fin,fin,23,"2,1","0,6",0.1,3,14,3,50.90,1.69,glass_fiber,140.415,rounded,3,0.66,reference_area
,fuselage,body,reference_area,50.90,8,50.90,"138,5",50.90,50,30,glass_fiber,cylinder,canard,0,0,0,0,0,0,0,0,50.90,0,0,0,0,0,0,0
,boattail,body,reference_area,50.90,8,0.05 / 2,0.06,50.90,50,300,glass_fiber,cone,,,,,,,,,,50.90,,,,,,,
